"","age","pop","gp","year","country","seed","share"
"1",0,1784,0,1990,"Samoa","21314",0
"2",1,1768,0,1990,"Samoa","21314",0
"3",2,1679,0,1990,"Samoa","21314",0
"4",3,1636,0,1990,"Samoa","21314",0
"5",4,1506,0,1990,"Samoa","21314",0
"6",5,1629,0,1990,"Samoa","21314",0
"7",6,1533,0,1990,"Samoa","21314",0
"8",7,1493,0,1990,"Samoa","21314",0
"9",8,1461,0,1990,"Samoa","21314",0
"10",9,1437,0,1990,"Samoa","21314",0
"11",10,1483,0,1990,"Samoa","21314",0
"12",11,1409,0,1990,"Samoa","21314",0
"13",12,1372,0,1990,"Samoa","21314",0
"14",13,1377,0,1990,"Samoa","21314",0
"15",14,1297,0,1990,"Samoa","21314",0
"16",15,1291,0,1990,"Samoa","21314",0
"17",16,1289,0,1990,"Samoa","21314",0
"18",17,1263,0,1990,"Samoa","21314",0
"19",18,1209,0,1990,"Samoa","21314",0
"20",19,1155,0,1990,"Samoa","21314",0
"21",20,1234,0,1990,"Samoa","21314",0
"22",21,1109,0,1990,"Samoa","21314",0
"23",22,1096,0,1990,"Samoa","21314",0
"24",23,1078,0,1990,"Samoa","21314",0
"25",24,1010,0,1990,"Samoa","21314",0
"26",25,983,0,1990,"Samoa","21314",0
"27",26,965,0,1990,"Samoa","21314",0
"28",27,972,0,1990,"Samoa","21314",0
"29",28,875,0,1990,"Samoa","21314",0
"30",29,806,1,1990,"Samoa","21314",0.00124069478908189
"31",30,813,2,1990,"Samoa","21314",0.002460024600246
"32",31,792,3,1990,"Samoa","21314",0.00378787878787879
"33",32,754,5,1990,"Samoa","21314",0.00663129973474801
"34",33,715,5,1990,"Samoa","21314",0.00699300699300699
"35",34,658,15,1990,"Samoa","21314",0.0227963525835866
"36",35,671,24,1990,"Samoa","21314",0.0357675111773472
"37",36,606,37,1990,"Samoa","21314",0.0610561056105611
"38",37,572,54,1990,"Samoa","21314",0.0944055944055944
"39",38,570,71,1990,"Samoa","21314",0.124561403508772
"40",39,545,93,1990,"Samoa","21314",0.170642201834862
"41",40,665,127,1990,"Samoa","21314",0.190977443609023
"42",41,612,153,1990,"Samoa","21314",0.25
"43",42,557,169,1990,"Samoa","21314",0.303411131059246
"44",43,568,213,1990,"Samoa","21314",0.375
"45",44,531,232,1990,"Samoa","21314",0.436911487758945
"46",45,525,260,1990,"Samoa","21314",0.495238095238095
"47",46,492,260,1990,"Samoa","21314",0.528455284552846
"48",47,477,273,1990,"Samoa","21314",0.572327044025157
"49",48,461,297,1990,"Samoa","21314",0.644251626898048
"50",49,425,309,1990,"Samoa","21314",0.727058823529412
"51",50,424,321,1990,"Samoa","21314",0.757075471698113
"52",51,373,290,1990,"Samoa","21314",0.777479892761394
"53",52,401,308,1990,"Samoa","21314",0.768079800498753
"54",53,356,300,1990,"Samoa","21314",0.842696629213483
"55",54,366,305,1990,"Samoa","21314",0.833333333333333
"56",55,345,288,1990,"Samoa","21314",0.834782608695652
"57",56,328,279,1990,"Samoa","21314",0.850609756097561
"58",57,285,261,1990,"Samoa","21314",0.91578947368421
"59",58,237,207,1990,"Samoa","21314",0.873417721518987
"60",59,269,247,1990,"Samoa","21314",0.9182156133829
"61",60,230,212,1990,"Samoa","21314",0.921739130434783
"62",61,234,216,1990,"Samoa","21314",0.923076923076923
"63",62,177,167,1990,"Samoa","21314",0.943502824858757
"64",63,201,186,1990,"Samoa","21314",0.925373134328358
"65",64,188,179,1990,"Samoa","21314",0.952127659574468
"66",65,202,190,1990,"Samoa","21314",0.940594059405941
"67",66,159,148,1990,"Samoa","21314",0.930817610062893
"68",67,125,119,1990,"Samoa","21314",0.952
"69",68,121,117,1990,"Samoa","21314",0.966942148760331
"70",69,116,114,1990,"Samoa","21314",0.982758620689655
"71",70,117,112,1990,"Samoa","21314",0.957264957264957
"72",71,97,94,1990,"Samoa","21314",0.969072164948454
"73",72,100,96,1990,"Samoa","21314",0.96
"74",73,83,82,1990,"Samoa","21314",0.987951807228916
"75",74,68,65,1990,"Samoa","21314",0.955882352941177
"76",75,57,54,1990,"Samoa","21314",0.947368421052632
"77",76,57,54,1990,"Samoa","21314",0.947368421052632
"78",77,48,47,1990,"Samoa","21314",0.979166666666667
"79",78,45,44,1990,"Samoa","21314",0.977777777777778
"80",79,43,39,1990,"Samoa","21314",0.906976744186046
"81",80,33,32,1990,"Samoa","21314",0.96969696969697
"82",81,18,18,1990,"Samoa","21314",1
"83",82,28,25,1990,"Samoa","21314",0.892857142857143
"84",83,16,16,1990,"Samoa","21314",1
"85",84,21,20,1990,"Samoa","21314",0.952380952380952
"86",85,9,8,1990,"Samoa","21314",0.888888888888889
"87",86,9,9,1990,"Samoa","21314",1
"88",87,7,6,1990,"Samoa","21314",0.857142857142857
"89",88,4,4,1990,"Samoa","21314",1
"90",89,6,6,1990,"Samoa","21314",1
"91",90,1,1,1990,"Samoa","21314",1
"92",93,1,1,1990,"Samoa","21314",1
"93",94,1,1,1990,"Samoa","21314",1
"94",96,1,1,1990,"Samoa","21314",1
"95",97,1,1,1990,"Samoa","21314",1
"96",0,1870,0,1995,"Samoa","21314",0
"97",1,1830,0,1995,"Samoa","21314",0
"98",2,1716,0,1995,"Samoa","21314",0
"99",3,1674,0,1995,"Samoa","21314",0
"100",4,1693,0,1995,"Samoa","21314",0
"101",5,1757,0,1995,"Samoa","21314",0
"102",6,1766,0,1995,"Samoa","21314",0
"103",7,1667,0,1995,"Samoa","21314",0
