"","age","pop","gp","year","country","seed","share"
"1",0,350,0,1990,"Estonia","159243",0
"2",1,389,0,1990,"Estonia","159243",0
"3",2,389,0,1990,"Estonia","159243",0
"4",3,375,0,1990,"Estonia","159243",0
"5",4,349,0,1990,"Estonia","159243",0
"6",5,377,0,1990,"Estonia","159243",0
"7",6,375,0,1990,"Estonia","159243",0
"8",7,356,0,1990,"Estonia","159243",0
"9",8,373,0,1990,"Estonia","159243",0
"10",9,376,0,1990,"Estonia","159243",0
"11",10,372,0,1990,"Estonia","159243",0
"12",11,383,0,1990,"Estonia","159243",0
"13",12,346,0,1990,"Estonia","159243",0
"14",13,423,0,1990,"Estonia","159243",0
"15",14,378,0,1990,"Estonia","159243",0
"16",15,412,0,1990,"Estonia","159243",0
"17",16,387,0,1990,"Estonia","159243",0
"18",17,437,0,1990,"Estonia","159243",0
"19",18,426,0,1990,"Estonia","159243",0
"20",19,461,0,1990,"Estonia","159243",0
"21",20,406,0,1990,"Estonia","159243",0
"22",21,465,0,1990,"Estonia","159243",0
"23",22,397,0,1990,"Estonia","159243",0
"24",23,426,0,1990,"Estonia","159243",0
"25",24,425,0,1990,"Estonia","159243",0
"26",25,400,0,1990,"Estonia","159243",0
"27",26,390,0,1990,"Estonia","159243",0
"28",27,430,0,1990,"Estonia","159243",0
"29",28,398,2,1990,"Estonia","159243",0.0050251256281407
"30",29,373,1,1990,"Estonia","159243",0.00268096514745308
"31",30,425,0,1990,"Estonia","159243",0
"32",31,445,1,1990,"Estonia","159243",0.00224719101123596
"33",32,428,4,1990,"Estonia","159243",0.00934579439252336
"34",33,413,3,1990,"Estonia","159243",0.00726392251815981
"35",34,417,8,1990,"Estonia","159243",0.0191846522781775
"36",35,437,10,1990,"Estonia","159243",0.022883295194508
"37",36,399,8,1990,"Estonia","159243",0.0200501253132832
"38",37,416,28,1990,"Estonia","159243",0.0673076923076923
"39",38,444,34,1990,"Estonia","159243",0.0765765765765766
"40",39,432,45,1990,"Estonia","159243",0.104166666666667
"41",40,432,46,1990,"Estonia","159243",0.106481481481481
"42",41,460,74,1990,"Estonia","159243",0.160869565217391
"43",42,430,84,1990,"Estonia","159243",0.195348837209302
"44",43,470,96,1990,"Estonia","159243",0.204255319148936
"45",44,478,131,1990,"Estonia","159243",0.274058577405858
"46",45,440,116,1990,"Estonia","159243",0.263636363636364
"47",46,493,152,1990,"Estonia","159243",0.308316430020284
"48",47,448,155,1990,"Estonia","159243",0.345982142857143
"49",48,452,162,1990,"Estonia","159243",0.358407079646018
"50",49,451,179,1990,"Estonia","159243",0.39689578713969
"51",50,435,178,1990,"Estonia","159243",0.409195402298851
"52",51,455,177,1990,"Estonia","159243",0.389010989010989
"53",52,446,198,1990,"Estonia","159243",0.443946188340807
"54",53,450,197,1990,"Estonia","159243",0.437777777777778
"55",54,446,229,1990,"Estonia","159243",0.513452914798206
"56",55,455,234,1990,"Estonia","159243",0.514285714285714
"57",56,421,236,1990,"Estonia","159243",0.560570071258907
"58",57,446,231,1990,"Estonia","159243",0.517937219730942
"59",58,428,234,1990,"Estonia","159243",0.546728971962617
"60",59,426,241,1990,"Estonia","159243",0.565727699530516
"61",60,395,213,1990,"Estonia","159243",0.539240506329114
"62",61,417,244,1990,"Estonia","159243",0.585131894484412
"63",62,426,255,1990,"Estonia","159243",0.598591549295775
"64",63,425,252,1990,"Estonia","159243",0.592941176470588
"65",64,377,214,1990,"Estonia","159243",0.56763925729443
"66",65,368,239,1990,"Estonia","159243",0.64945652173913
"67",66,384,235,1990,"Estonia","159243",0.611979166666667
"68",67,382,237,1990,"Estonia","159243",0.620418848167539
"69",68,346,204,1990,"Estonia","159243",0.589595375722543
"70",69,348,218,1990,"Estonia","159243",0.626436781609195
"71",70,366,222,1990,"Estonia","159243",0.60655737704918
"72",71,314,213,1990,"Estonia","159243",0.678343949044586
"73",72,317,202,1990,"Estonia","159243",0.637223974763407
"74",73,290,183,1990,"Estonia","159243",0.631034482758621
"75",74,284,173,1990,"Estonia","159243",0.609154929577465
"76",75,298,196,1990,"Estonia","159243",0.657718120805369
"77",76,256,161,1990,"Estonia","159243",0.62890625
"78",77,239,153,1990,"Estonia","159243",0.640167364016736
"79",78,208,140,1990,"Estonia","159243",0.673076923076923
"80",79,204,120,1990,"Estonia","159243",0.588235294117647
"81",80,205,128,1990,"Estonia","159243",0.624390243902439
"82",81,170,108,1990,"Estonia","159243",0.635294117647059
"83",82,144,93,1990,"Estonia","159243",0.645833333333333
"84",83,120,69,1990,"Estonia","159243",0.575
"85",84,107,73,1990,"Estonia","159243",0.682242990654206
"86",85,83,53,1990,"Estonia","159243",0.63855421686747
"87",86,88,53,1990,"Estonia","159243",0.602272727272727
"88",87,60,33,1990,"Estonia","159243",0.55
"89",88,56,33,1990,"Estonia","159243",0.589285714285714
"90",89,57,33,1990,"Estonia","159243",0.578947368421053
"91",90,31,18,1990,"Estonia","159243",0.580645161290323
"92",91,14,13,1990,"Estonia","159243",0.928571428571429
"93",92,16,10,1990,"Estonia","159243",0.625
"94",93,17,8,1990,"Estonia","159243",0.470588235294118
"95",94,12,7,1990,"Estonia","159243",0.583333333333333
"96",95,4,4,1990,"Estonia","159243",1
"97",96,4,3,1990,"Estonia","159243",0.75
"98",97,4,1,1990,"Estonia","159243",0.25
"99",98,2,2,1990,"Estonia","159243",1
"100",0,284,0,1995,"Estonia","159243",0
"101",1,301,0,1995,"Estonia","159243",0
"102",2,287,0,1995,"Estonia","159243",0
"103",3,275,0,1995,"Estonia","159243",0
"104",4,277,0,1995,"Estonia","159243",0
"105",5,344,0,1995,"Estonia","159243",0
"106",6,386,0,1995,"Estonia","159243",0
"107",7,387,0,1995,"Estonia","159243",0
"108",8,375,0,1995,"Estonia","159243",0
"109",9,348,0,1995,"Estonia","159243",0
"110",10,377,0,1995,"Estonia","159243",0
"111",11,374,0,1995,"Estonia","159243",0
"112",12,355,0,1995,"Estonia","159243",0
"113",13,373,0,1995,"Estonia","159243",0
"114",14,376,0,1995,"Estonia","159243",0
"115",15,371,0,1995,"Estonia","159243",0
"116",16,382,0,1995,"Estonia","159243",0
"117",17,345,0,1995,"Estonia","159243",0
"118",18,421,0,1995,"Estonia","159243",0
"119",19,374,0,1995,"Estonia","159243",0
"120",20,409,0,1995,"Estonia","159243",0
