"","age","pop","gp","year","country","seed","share"
"1",0,659,0,1990,"Hongkong","441967",0
"2",1,630,0,1990,"Hongkong","441967",0
"3",2,620,0,1990,"Hongkong","441967",0
"4",3,602,0,1990,"Hongkong","441967",0
"5",4,640,0,1990,"Hongkong","441967",0
"6",5,757,0,1990,"Hongkong","441967",0
"7",6,757,0,1990,"Hongkong","441967",0
"8",7,705,0,1990,"Hongkong","441967",0
"9",8,661,0,1990,"Hongkong","441967",0
"10",9,715,0,1990,"Hongkong","441967",0
"11",10,830,0,1990,"Hongkong","441967",0
"12",11,803,0,1990,"Hongkong","441967",0
"13",12,794,0,1990,"Hongkong","441967",0
"14",13,778,0,1990,"Hongkong","441967",0
"15",14,784,0,1990,"Hongkong","441967",0
"16",15,1005,0,1990,"Hongkong","441967",0
"17",16,961,0,1990,"Hongkong","441967",0
"18",17,932,0,1990,"Hongkong","441967",0
"19",18,922,0,1990,"Hongkong","441967",0
"20",19,857,0,1990,"Hongkong","441967",0
"21",20,1043,0,1990,"Hongkong","441967",0
"22",21,1081,0,1990,"Hongkong","441967",0
"23",22,1007,0,1990,"Hongkong","441967",0
"24",23,974,0,1990,"Hongkong","441967",0
"25",24,1002,0,1990,"Hongkong","441967",0
"26",25,1283,0,1990,"Hongkong","441967",0
"27",26,1197,0,1990,"Hongkong","441967",0
"28",27,1197,0,1990,"Hongkong","441967",0
"29",28,1156,0,1990,"Hongkong","441967",0
"30",29,1142,0,1990,"Hongkong","441967",0
"31",30,963,0,1990,"Hongkong","441967",0
"32",31,1046,0,1990,"Hongkong","441967",0
"33",32,988,1,1990,"Hongkong","441967",0.00101214574898785
"34",33,921,2,1990,"Hongkong","441967",0.00217155266015201
"35",34,962,2,1990,"Hongkong","441967",0.00207900207900208
"36",35,864,4,1990,"Hongkong","441967",0.00462962962962963
"37",36,799,3,1990,"Hongkong","441967",0.00375469336670839
"38",37,827,11,1990,"Hongkong","441967",0.0133010882708585
"39",38,828,9,1990,"Hongkong","441967",0.0108695652173913
"40",39,798,10,1990,"Hongkong","441967",0.012531328320802
"41",40,733,21,1990,"Hongkong","441967",0.0286493860845839
"42",41,707,28,1990,"Hongkong","441967",0.0396039603960396
"43",42,689,46,1990,"Hongkong","441967",0.0667634252539913
"44",43,688,75,1990,"Hongkong","441967",0.109011627906977
"45",44,692,99,1990,"Hongkong","441967",0.143063583815029
"46",45,678,103,1990,"Hongkong","441967",0.151917404129794
"47",46,648,141,1990,"Hongkong","441967",0.217592592592593
"48",47,623,140,1990,"Hongkong","441967",0.224719101123595
"49",48,626,180,1990,"Hongkong","441967",0.287539936102236
"50",49,618,218,1990,"Hongkong","441967",0.352750809061489
"51",50,640,240,1990,"Hongkong","441967",0.375
"52",51,561,244,1990,"Hongkong","441967",0.4349376114082
"53",52,576,282,1990,"Hongkong","441967",0.489583333333333
"54",53,525,286,1990,"Hongkong","441967",0.544761904761905
"55",54,504,290,1990,"Hongkong","441967",0.575396825396825
"56",55,501,295,1990,"Hongkong","441967",0.588822355289421
"57",56,497,335,1990,"Hongkong","441967",0.674044265593561
"58",57,460,322,1990,"Hongkong","441967",0.7
"59",58,466,364,1990,"Hongkong","441967",0.781115879828326
"60",59,445,346,1990,"Hongkong","441967",0.77752808988764
"61",60,492,388,1990,"Hongkong","441967",0.788617886178862
"62",61,422,342,1990,"Hongkong","441967",0.81042654028436
"63",62,409,329,1990,"Hongkong","441967",0.80440097799511
"64",63,358,291,1990,"Hongkong","441967",0.812849162011173
"65",64,382,284,1990,"Hongkong","441967",0.743455497382199
"66",65,328,271,1990,"Hongkong","441967",0.826219512195122
"67",66,352,293,1990,"Hongkong","441967",0.832386363636364
"68",67,339,270,1990,"Hongkong","441967",0.79646017699115
"69",68,264,234,1990,"Hongkong","441967",0.886363636363636
"70",69,330,288,1990,"Hongkong","441967",0.872727272727273
"71",70,281,237,1990,"Hongkong","441967",0.843416370106762
"72",71,258,233,1990,"Hongkong","441967",0.903100775193798
"73",72,232,209,1990,"Hongkong","441967",0.900862068965517
"74",73,247,216,1990,"Hongkong","441967",0.874493927125506
"75",74,230,192,1990,"Hongkong","441967",0.834782608695652
"76",75,198,169,1990,"Hongkong","441967",0.853535353535353
"77",76,190,171,1990,"Hongkong","441967",0.9
"78",77,167,153,1990,"Hongkong","441967",0.916167664670659
"79",78,157,134,1990,"Hongkong","441967",0.853503184713376
"80",79,123,113,1990,"Hongkong","441967",0.91869918699187
"81",80,118,109,1990,"Hongkong","441967",0.923728813559322
"82",81,119,106,1990,"Hongkong","441967",0.890756302521008
"83",82,84,81,1990,"Hongkong","441967",0.964285714285714
"84",83,84,68,1990,"Hongkong","441967",0.80952380952381
"85",84,74,58,1990,"Hongkong","441967",0.783783783783784
"86",85,61,56,1990,"Hongkong","441967",0.918032786885246
"87",86,52,49,1990,"Hongkong","441967",0.942307692307692
"88",87,52,46,1990,"Hongkong","441967",0.884615384615385
"89",88,44,37,1990,"Hongkong","441967",0.840909090909091
"90",89,41,36,1990,"Hongkong","441967",0.878048780487805
"91",90,33,32,1990,"Hongkong","441967",0.96969696969697
"92",91,17,14,1990,"Hongkong","441967",0.823529411764706
"93",92,15,15,1990,"Hongkong","441967",1
"94",93,11,10,1990,"Hongkong","441967",0.909090909090909
"95",94,6,5,1990,"Hongkong","441967",0.833333333333333
"96",95,2,2,1990,"Hongkong","441967",1
"97",96,3,3,1990,"Hongkong","441967",1
"98",97,2,2,1990,"Hongkong","441967",1
"99",99,1,1,1990,"Hongkong","441967",1
"100",0,652,0,1995,"Hongkong","441967",0
"101",1,664,0,1995,"Hongkong","441967",0
"102",2,627,0,1995,"Hongkong","441967",0
"103",3,637,0,1995,"Hongkong","441967",0
"104",4,659,0,1995,"Hongkong","441967",0
"105",5,655,0,1995,"Hongkong","441967",0
"106",6,629,0,1995,"Hongkong","441967",0
"107",7,619,0,1995,"Hongkong","441967",0
"108",8,601,0,1995,"Hongkong","441967",0
"109",9,639,0,1995,"Hongkong","441967",0
"110",10,757,0,1995,"Hongkong","441967",0
"111",11,756,0,1995,"Hongkong","441967",0
"112",12,705,0,1995,"Hongkong","441967",0
"113",13,661,0,1995,"Hongkong","441967",0
"114",14,713,0,1995,"Hongkong","441967",0
"115",15,829,0,1995,"Hongkong","441967",0
"116",16,801,0,1995,"Hongkong","441967",0
"117",17,793,0,1995,"Hongkong","441967",0
"118",18,777,0,1995,"Hongkong","441967",0
"119",19,783,0,1995,"Hongkong","441967",0
"120",20,1003,0,1995,"Hongkong","441967",0
"121",21,959,0,1995,"Hongkong","441967",0
"122",22,928,0,1995,"Hongkong","441967",0
"123",23,921,0,1995,"Hongkong","441967",0
"124",24,855,0,1995,"Hongkong","441967",0
"125",25,1039,0,1995,"Hongkong","441967",0
"126",26,1078,0,1995,"Hongkong","441967",0
"127",27,1003,0,1995,"Hongkong","441967",0
"128",28,972,0,1995,"Hongkong","441967",0
"129",29,997,0,1995,"Hongkong","441967",0
"130",30,1279,0,1995,"Hongkong","441967",0
"131",31,1195,0,1995,"Hongkong","441967",0
"132",32,1194,0,1995,"Hongkong","441967",0
"133",33,1152,1,1995,"Hongkong","441967",0.000868055555555556
"134",34,1134,2,1995,"Hongkong","441967",0.0017636684303351
"135",35,962,1,1995,"Hongkong","441967",0.00103950103950104
"136",36,1041,3,1995,"Hongkong","441967",0.00288184438040346
"137",37,981,5,1995,"Hongkong","441967",0.00509683995922528
"138",38,915,5,1995,"Hongkong","441967",0.00546448087431694
"139",39,961,15,1995,"Hongkong","441967",0.0156087408949011
"140",40,861,24,1995,"Hongkong","441967",0.0278745644599303
"141",41,793,31,1995,"Hongkong","441967",0.0390920554854981
"142",42,819,31,1995,"Hongkong","441967",0.0378510378510378
"143",43,824,55,1995,"Hongkong","441967",0.066747572815534
