"","age","pop","gp","year","country","seed","share"
"1",0,39,0,1960,"Comoros","190684",0
"2",1,38,0,1960,"Comoros","190684",0
"3",2,25,0,1960,"Comoros","190684",0
"4",3,36,0,1960,"Comoros","190684",0
"5",4,26,0,1960,"Comoros","190684",0
"6",5,20,0,1960,"Comoros","190684",0
"7",6,24,0,1960,"Comoros","190684",0
"8",7,19,0,1960,"Comoros","190684",0
"9",8,21,0,1960,"Comoros","190684",0
"10",9,22,0,1960,"Comoros","190684",0
"11",10,17,0,1960,"Comoros","190684",0
"12",11,24,0,1960,"Comoros","190684",0
"13",12,19,0,1960,"Comoros","190684",0
"14",13,18,0,1960,"Comoros","190684",0
"15",14,20,0,1960,"Comoros","190684",0
"16",15,16,0,1960,"Comoros","190684",0
"17",16,20,0,1960,"Comoros","190684",0
"18",17,20,0,1960,"Comoros","190684",0
"19",18,19,0,1960,"Comoros","190684",0
"20",19,27,0,1960,"Comoros","190684",0
"21",20,13,0,1960,"Comoros","190684",0
"22",21,19,0,1960,"Comoros","190684",0
"23",22,11,0,1960,"Comoros","190684",0
"24",23,12,0,1960,"Comoros","190684",0
"25",24,18,0,1960,"Comoros","190684",0
"26",25,22,0,1960,"Comoros","190684",0
"27",26,17,0,1960,"Comoros","190684",0
"28",27,9,0,1960,"Comoros","190684",0
"29",28,8,0,1960,"Comoros","190684",0
"30",29,5,0,1960,"Comoros","190684",0
"31",30,12,0,1960,"Comoros","190684",0
"32",31,8,1,1960,"Comoros","190684",0.125
"33",32,12,1,1960,"Comoros","190684",0.0833333333333333
"34",33,10,0,1960,"Comoros","190684",0
"35",34,15,1,1960,"Comoros","190684",0.0666666666666667
"36",35,6,2,1960,"Comoros","190684",0.333333333333333
"37",36,9,1,1960,"Comoros","190684",0.111111111111111
"38",37,14,3,1960,"Comoros","190684",0.214285714285714
"39",38,3,0,1960,"Comoros","190684",0
"40",39,9,4,1960,"Comoros","190684",0.444444444444444
"41",40,11,4,1960,"Comoros","190684",0.363636363636364
"42",41,11,5,1960,"Comoros","190684",0.454545454545455
"43",42,9,6,1960,"Comoros","190684",0.666666666666667
"44",43,7,3,1960,"Comoros","190684",0.428571428571429
"45",44,6,4,1960,"Comoros","190684",0.666666666666667
"46",45,8,5,1960,"Comoros","190684",0.625
"47",46,4,3,1960,"Comoros","190684",0.75
"48",47,7,4,1960,"Comoros","190684",0.571428571428571
"49",48,8,6,1960,"Comoros","190684",0.75
"50",49,5,3,1960,"Comoros","190684",0.6
"51",50,11,10,1960,"Comoros","190684",0.909090909090909
"52",51,9,6,1960,"Comoros","190684",0.666666666666667
"53",52,3,3,1960,"Comoros","190684",1
"54",53,4,3,1960,"Comoros","190684",0.75
"55",54,3,2,1960,"Comoros","190684",0.666666666666667
"56",55,6,4,1960,"Comoros","190684",0.666666666666667
"57",56,5,4,1960,"Comoros","190684",0.8
"58",57,4,3,1960,"Comoros","190684",0.75
"59",58,4,4,1960,"Comoros","190684",1
"60",59,2,0,1960,"Comoros","190684",0
"61",60,8,6,1960,"Comoros","190684",0.75
"62",61,5,2,1960,"Comoros","190684",0.4
"63",62,4,4,1960,"Comoros","190684",1
"64",63,4,4,1960,"Comoros","190684",1
"65",64,2,1,1960,"Comoros","190684",0.5
"66",65,2,2,1960,"Comoros","190684",1
"67",66,6,5,1960,"Comoros","190684",0.833333333333333
"68",67,1,1,1960,"Comoros","190684",1
"69",68,1,1,1960,"Comoros","190684",1
"70",69,1,1,1960,"Comoros","190684",1
"71",70,4,2,1960,"Comoros","190684",0.5
"72",71,3,1,1960,"Comoros","190684",0.333333333333333
"73",72,1,0,1960,"Comoros","190684",0
"74",73,1,0,1960,"Comoros","190684",0
"75",75,1,1,1960,"Comoros","190684",1
"76",77,1,1,1960,"Comoros","190684",1
"77",78,2,2,1960,"Comoros","190684",1
"78",80,1,1,1960,"Comoros","190684",1
"79",0,47,0,1965,"Comoros","190684",0
"80",1,36,0,1965,"Comoros","190684",0
"81",2,45,0,1965,"Comoros","190684",0
"82",3,40,0,1965,"Comoros","190684",0
"83",4,37,0,1965,"Comoros","190684",0
"84",5,33,0,1965,"Comoros","190684",0
"85",6,33,0,1965,"Comoros","190684",0
"86",7,22,0,1965,"Comoros","190684",0
"87",8,34,0,1965,"Comoros","190684",0
"88",9,24,0,1965,"Comoros","190684",0
"89",10,19,0,1965,"Comoros","190684",0
"90",11,23,0,1965,"Comoros","190684",0
"91",12,19,0,1965,"Comoros","190684",0
"92",13,21,0,1965,"Comoros","190684",0
"93",14,21,0,1965,"Comoros","190684",0
"94",15,16,0,1965,"Comoros","190684",0
"95",16,24,0,1965,"Comoros","190684",0
"96",17,19,0,1965,"Comoros","190684",0
"97",18,17,0,1965,"Comoros","190684",0
"98",19,19,0,1965,"Comoros","190684",0
"99",20,16,0,1965,"Comoros","190684",0
"100",21,20,0,1965,"Comoros","190684",0
"101",22,18,0,1965,"Comoros","190684",0
"102",23,15,0,1965,"Comoros","190684",0
"103",24,26,0,1965,"Comoros","190684",0
"104",25,12,0,1965,"Comoros","190684",0
"105",26,18,0,1965,"Comoros","190684",0
"106",27,11,0,1965,"Comoros","190684",0
"107",28,12,0,1965,"Comoros","190684",0
"108",29,16,0,1965,"Comoros","190684",0
"109",30,21,0,1965,"Comoros","190684",0
"110",31,16,0,1965,"Comoros","190684",0
"111",32,9,0,1965,"Comoros","190684",0
"112",33,8,0,1965,"Comoros","190684",0
"113",34,5,0,1965,"Comoros","190684",0
"114",35,12,0,1965,"Comoros","190684",0
"115",36,8,3,1965,"Comoros","190684",0.375
"116",37,12,4,1965,"Comoros","190684",0.333333333333333
"117",38,9,0,1965,"Comoros","190684",0
"118",39,15,3,1965,"Comoros","190684",0.2
"119",40,6,3,1965,"Comoros","190684",0.5
"120",41,9,3,1965,"Comoros","190684",0.333333333333333
"121",42,13,6,1965,"Comoros","190684",0.461538461538462
"122",43,3,1,1965,"Comoros","190684",0.333333333333333
"123",44,9,4,1965,"Comoros","190684",0.444444444444444
"124",45,10,7,1965,"Comoros","190684",0.7
"125",46,10,8,1965,"Comoros","190684",0.8
"126",47,9,7,1965,"Comoros","190684",0.777777777777778
"127",48,6,5,1965,"Comoros","190684",0.833333333333333
"128",49,6,4,1965,"Comoros","190684",0.666666666666667
"129",50,7,5,1965,"Comoros","190684",0.714285714285714
"130",51,4,4,1965,"Comoros","190684",1
"131",52,6,6,1965,"Comoros","190684",1
"132",53,8,6,1965,"Comoros","190684",0.75
"133",54,4,4,1965,"Comoros","190684",1
"134",55,10,9,1965,"Comoros","190684",0.9
"135",56,9,8,1965,"Comoros","190684",0.888888888888889
"136",57,3,3,1965,"Comoros","190684",1
"137",58,3,2,1965,"Comoros","190684",0.666666666666667
"138",59,3,2,1965,"Comoros","190684",0.666666666666667
"139",60,6,5,1965,"Comoros","190684",0.833333333333333
"140",61,4,3,1965,"Comoros","190684",0.75
"141",62,4,4,1965,"Comoros","190684",1
"142",63,4,4,1965,"Comoros","190684",1
"143",64,2,1,1965,"Comoros","190684",0.5
"144",65,8,6,1965,"Comoros","190684",0.75
"145",66,4,2,1965,"Comoros","190684",0.5
"146",67,3,3,1965,"Comoros","190684",1
"147",68,3,3,1965,"Comoros","190684",1
"148",69,2,2,1965,"Comoros","190684",1
"149",70,2,2,1965,"Comoros","190684",1
"150",71,6,5,1965,"Comoros","190684",0.833333333333333
"151",72,1,1,1965,"Comoros","190684",1
"152",73,1,1,1965,"Comoros","190684",1
"153",75,3,2,1965,"Comoros","190684",0.666666666666667
"154",76,3,2,1965,"Comoros","190684",0.666666666666667
"155",80,1,1,1965,"Comoros","190684",1
"156",85,1,1,1965,"Comoros","190684",1
"157",0,57,0,1970,"Comoros","190684",0
"158",1,63,0,1970,"Comoros","190684",0
"159",2,51,0,1970,"Comoros","190684",0
"160",3,43,0,1970,"Comoros","190684",0
"161",4,43,0,1970,"Comoros","190684",0
"162",5,34,0,1970,"Comoros","190684",0
"163",6,34,0,1970,"Comoros","190684",0
"164",7,42,0,1970,"Comoros","190684",0
"165",8,39,0,1970,"Comoros","190684",0
"166",9,34,0,1970,"Comoros","190684",0
"167",10,32,0,1970,"Comoros","190684",0
"168",11,31,0,1970,"Comoros","190684",0
"169",12,20,0,1970,"Comoros","190684",0
"170",13,34,0,1970,"Comoros","190684",0
"171",14,23,0,1970,"Comoros","190684",0
"172",15,19,0,1970,"Comoros","190684",0
"173",16,22,0,1970,"Comoros","190684",0
"174",17,18,0,1970,"Comoros","190684",0
"175",18,21,0,1970,"Comoros","190684",0
"176",19,21,0,1970,"Comoros","190684",0
"177",20,15,0,1970,"Comoros","190684",0
"178",21,23,0,1970,"Comoros","190684",0
"179",22,17,0,1970,"Comoros","190684",0
"180",23,17,0,1970,"Comoros","190684",0
"181",24,19,0,1970,"Comoros","190684",0
"182",25,16,0,1970,"Comoros","190684",0
"183",26,20,0,1970,"Comoros","190684",0
"184",27,18,0,1970,"Comoros","190684",0
"185",28,15,0,1970,"Comoros","190684",0
"186",29,25,0,1970,"Comoros","190684",0
"187",30,10,0,1970,"Comoros","190684",0
"188",31,16,0,1970,"Comoros","190684",0
"189",32,10,0,1970,"Comoros","190684",0
"190",33,11,0,1970,"Comoros","190684",0
"191",34,15,1,1970,"Comoros","190684",0.0666666666666667
"192",35,21,1,1970,"Comoros","190684",0.0476190476190476
"193",36,15,0,1970,"Comoros","190684",0
"194",37,9,0,1970,"Comoros","190684",0
"195",38,8,0,1970,"Comoros","190684",0
"196",39,4,0,1970,"Comoros","190684",0
"197",40,12,1,1970,"Comoros","190684",0.0833333333333333
"198",41,8,3,1970,"Comoros","190684",0.375
"199",42,12,4,1970,"Comoros","190684",0.333333333333333
"200",43,8,4,1970,"Comoros","190684",0.5
"201",44,14,6,1970,"Comoros","190684",0.428571428571429
"202",45,6,3,1970,"Comoros","190684",0.5
"203",46,8,6,1970,"Comoros","190684",0.75
"204",47,12,10,1970,"Comoros","190684",0.833333333333333
"205",48,2,1,1970,"Comoros","190684",0.5
"206",49,9,5,1970,"Comoros","190684",0.555555555555556
"207",50,10,8,1970,"Comoros","190684",0.8
"208",51,10,10,1970,"Comoros","190684",1
"209",52,8,7,1970,"Comoros","190684",0.875
"210",53,6,5,1970,"Comoros","190684",0.833333333333333
"211",54,6,5,1970,"Comoros","190684",0.833333333333333
"212",55,6,4,1970,"Comoros","190684",0.666666666666667
"213",56,3,3,1970,"Comoros","190684",1
"214",57,6,6,1970,"Comoros","190684",1
"215",58,7,6,1970,"Comoros","190684",0.857142857142857
"216",59,3,3,1970,"Comoros","190684",1
"217",60,7,7,1970,"Comoros","190684",1
"218",61,7,6,1970,"Comoros","190684",0.857142857142857
"219",62,3,3,1970,"Comoros","190684",1
"220",63,2,1,1970,"Comoros","190684",0.5
"221",64,1,1,1970,"Comoros","190684",1
"222",65,4,2,1970,"Comoros","190684",0.5
"223",66,3,2,1970,"Comoros","190684",0.666666666666667
"224",67,1,1,1970,"Comoros","190684",1
"225",68,2,2,1970,"Comoros","190684",1
"226",69,1,0,1970,"Comoros","190684",0
"227",70,6,5,1970,"Comoros","190684",0.833333333333333
"228",71,3,1,1970,"Comoros","190684",0.333333333333333
"229",72,3,3,1970,"Comoros","190684",1
"230",73,2,2,1970,"Comoros","190684",1
"231",74,2,2,1970,"Comoros","190684",1
"232",75,2,2,1970,"Comoros","190684",1
"233",76,3,3,1970,"Comoros","190684",1
"234",77,1,0,1970,"Comoros","190684",0
"235",80,1,1,1970,"Comoros","190684",1
"236",81,1,1,1970,"Comoros","190684",1
"237",0,57,0,1975,"Comoros","190684",0
"238",1,49,0,1975,"Comoros","190684",0
"239",2,51,0,1975,"Comoros","190684",0
"240",3,47,0,1975,"Comoros","190684",0
"241",4,40,0,1975,"Comoros","190684",0
"242",5,52,0,1975,"Comoros","190684",0
"243",6,58,0,1975,"Comoros","190684",0
"244",7,47,0,1975,"Comoros","190684",0
"245",8,40,0,1975,"Comoros","190684",0
"246",9,43,0,1975,"Comoros","190684",0
"247",10,33,0,1975,"Comoros","190684",0
"248",11,33,0,1975,"Comoros","190684",0
"249",12,42,0,1975,"Comoros","190684",0
"250",13,38,0,1975,"Comoros","190684",0
"251",14,34,0,1975,"Comoros","190684",0
"252",15,31,0,1975,"Comoros","190684",0
"253",16,31,0,1975,"Comoros","190684",0
"254",17,20,0,1975,"Comoros","190684",0
"255",18,33,0,1975,"Comoros","190684",0
"256",19,22,0,1975,"Comoros","190684",0
"257",20,17,0,1975,"Comoros","190684",0
"258",21,20,0,1975,"Comoros","190684",0
"259",22,18,0,1975,"Comoros","190684",0
"260",23,21,0,1975,"Comoros","190684",0
"261",24,19,0,1975,"Comoros","190684",0
"262",25,13,0,1975,"Comoros","190684",0
"263",26,22,0,1975,"Comoros","190684",0
"264",27,16,0,1975,"Comoros","190684",0
"265",28,16,0,1975,"Comoros","190684",0
"266",29,19,0,1975,"Comoros","190684",0
"267",30,15,0,1975,"Comoros","190684",0
"268",31,20,0,1975,"Comoros","190684",0
"269",32,16,0,1975,"Comoros","190684",0
"270",33,15,1,1975,"Comoros","190684",0.0666666666666667
"271",34,25,0,1975,"Comoros","190684",0
"272",35,10,1,1975,"Comoros","190684",0.1
"273",36,15,1,1975,"Comoros","190684",0.0666666666666667
"274",37,9,1,1975,"Comoros","190684",0.111111111111111
"275",38,11,1,1975,"Comoros","190684",0.0909090909090909
"276",39,15,4,1975,"Comoros","190684",0.266666666666667
"277",40,19,7,1975,"Comoros","190684",0.368421052631579
"278",41,13,3,1975,"Comoros","190684",0.230769230769231
"279",42,8,1,1975,"Comoros","190684",0.125
"280",43,8,3,1975,"Comoros","190684",0.375
"281",44,4,3,1975,"Comoros","190684",0.75
"282",45,12,5,1975,"Comoros","190684",0.416666666666667
"283",46,8,6,1975,"Comoros","190684",0.75
"284",47,11,7,1975,"Comoros","190684",0.636363636363636
"285",48,7,6,1975,"Comoros","190684",0.857142857142857
"286",49,13,10,1975,"Comoros","190684",0.769230769230769
"287",50,6,3,1975,"Comoros","190684",0.5
"288",51,8,6,1975,"Comoros","190684",0.75
"289",52,10,8,1975,"Comoros","190684",0.8
"290",53,2,2,1975,"Comoros","190684",1
"291",54,8,7,1975,"Comoros","190684",0.875
"292",55,10,9,1975,"Comoros","190684",0.9
"293",56,9,9,1975,"Comoros","190684",1
"294",57,6,5,1975,"Comoros","190684",0.833333333333333
"295",58,6,5,1975,"Comoros","190684",0.833333333333333
"296",59,4,3,1975,"Comoros","190684",0.75
"297",60,6,4,1975,"Comoros","190684",0.666666666666667
"298",61,3,3,1975,"Comoros","190684",1
"299",62,6,6,1975,"Comoros","190684",1
"300",63,6,5,1975,"Comoros","190684",0.833333333333333
"301",64,3,3,1975,"Comoros","190684",1
"302",65,6,6,1975,"Comoros","190684",1
"303",66,6,5,1975,"Comoros","190684",0.833333333333333
"304",67,3,3,1975,"Comoros","190684",1
"305",68,2,1,1975,"Comoros","190684",0.5
"306",69,1,1,1975,"Comoros","190684",1
"307",70,4,2,1975,"Comoros","190684",0.5
"308",71,3,3,1975,"Comoros","190684",1
"309",73,2,2,1975,"Comoros","190684",1
"310",74,1,0,1975,"Comoros","190684",0
"311",75,6,5,1975,"Comoros","190684",0.833333333333333
"312",76,3,1,1975,"Comoros","190684",0.333333333333333
"313",77,2,2,1975,"Comoros","190684",1
"314",78,1,1,1975,"Comoros","190684",1
"315",79,1,1,1975,"Comoros","190684",1
"316",80,1,1,1975,"Comoros","190684",1
"317",82,1,0,1975,"Comoros","190684",0
"318",85,1,1,1975,"Comoros","190684",1
"319",0,51,0,1980,"Comoros","190684",0
"320",1,55,0,1980,"Comoros","190684",0
"321",2,60,0,1980,"Comoros","190684",0
"322",3,60,0,1980,"Comoros","190684",0
"323",4,47,0,1980,"Comoros","190684",0
"324",5,50,0,1980,"Comoros","190684",0
"325",6,46,0,1980,"Comoros","190684",0
"326",7,50,0,1980,"Comoros","190684",0
"327",8,45,0,1980,"Comoros","190684",0
"328",9,39,0,1980,"Comoros","190684",0
"329",10,52,0,1980,"Comoros","190684",0
"330",11,57,0,1980,"Comoros","190684",0
"331",12,47,0,1980,"Comoros","190684",0
"332",13,40,0,1980,"Comoros","190684",0
"333",14,43,0,1980,"Comoros","190684",0
"334",15,33,0,1980,"Comoros","190684",0
"335",16,33,0,1980,"Comoros","190684",0
"336",17,40,0,1980,"Comoros","190684",0
"337",18,37,0,1980,"Comoros","190684",0
"338",19,34,0,1980,"Comoros","190684",0
"339",20,30,0,1980,"Comoros","190684",0
