"","age","pop","gp","year","country","seed","share"
"1",0,3617,0,1960,"Portugal","184305",0
"2",1,3463,0,1960,"Portugal","184305",0
"3",2,3330,0,1960,"Portugal","184305",0
"4",3,3254,0,1960,"Portugal","184305",0
"5",4,3175,0,1960,"Portugal","184305",0
"6",5,3134,0,1960,"Portugal","184305",0
"7",6,3112,0,1960,"Portugal","184305",0
"8",7,3095,0,1960,"Portugal","184305",0
"9",8,2959,0,1960,"Portugal","184305",0
"10",9,3040,0,1960,"Portugal","184305",0
"11",10,3303,0,1960,"Portugal","184305",0
"12",11,3257,0,1960,"Portugal","184305",0
"13",12,3215,0,1960,"Portugal","184305",0
"14",13,3192,0,1960,"Portugal","184305",0
"15",14,3135,0,1960,"Portugal","184305",0
"16",15,3093,0,1960,"Portugal","184305",0
"17",16,3113,0,1960,"Portugal","184305",0
"18",17,3144,0,1960,"Portugal","184305",0
"19",18,3104,0,1960,"Portugal","184305",0
"20",19,3035,0,1960,"Portugal","184305",0
"21",20,3124,0,1960,"Portugal","184305",0
"22",21,3034,0,1960,"Portugal","184305",0
"23",22,3075,0,1960,"Portugal","184305",0
"24",23,2827,0,1960,"Portugal","184305",0
"25",24,2970,1,1960,"Portugal","184305",0.000336700336700337
"26",25,2998,0,1960,"Portugal","184305",0
"27",26,3006,0,1960,"Portugal","184305",0
"28",27,2878,0,1960,"Portugal","184305",0
"29",28,2813,2,1960,"Portugal","184305",0.000710984713828653
"30",29,2854,1,1960,"Portugal","184305",0.000350385423966363
"31",30,2664,1,1960,"Portugal","184305",0.000375375375375375
"32",31,2688,2,1960,"Portugal","184305",0.000744047619047619
"33",32,2808,5,1960,"Portugal","184305",0.00178062678062678
"34",33,2764,15,1960,"Portugal","184305",0.00542691751085383
"35",34,2623,11,1960,"Portugal","184305",0.00419367136866184
"36",35,2592,38,1960,"Portugal","184305",0.0146604938271605
"37",36,2642,46,1960,"Portugal","184305",0.0174110522331567
"38",37,2596,88,1960,"Portugal","184305",0.0338983050847458
"39",38,2545,106,1960,"Portugal","184305",0.0416502946954813
"40",39,2578,160,1960,"Portugal","184305",0.0620636152055857
"41",40,2504,192,1960,"Portugal","184305",0.0766773162939297
"42",41,2479,295,1960,"Portugal","184305",0.118999596611537
"43",42,2465,332,1960,"Portugal","184305",0.134685598377282
"44",43,2428,439,1960,"Portugal","184305",0.180807248764415
"45",44,2372,490,1960,"Portugal","184305",0.206576728499157
"46",45,2401,610,1960,"Portugal","184305",0.254060807996668
"47",46,2360,675,1960,"Portugal","184305",0.286016949152542
"48",47,2342,757,1960,"Portugal","184305",0.323228010247652
"49",48,2374,863,1960,"Portugal","184305",0.36352148272957
"50",49,2329,898,1960,"Portugal","184305",0.385573207385144
"51",50,2286,1033,1960,"Portugal","184305",0.451881014873141
"52",51,2197,1085,1960,"Portugal","184305",0.493855257168867
"53",52,2153,1093,1960,"Portugal","184305",0.507663725034835
"54",53,2128,1135,1960,"Portugal","184305",0.533364661654135
"55",54,2058,1159,1960,"Portugal","184305",0.563168124392614
"56",55,2013,1215,1960,"Portugal","184305",0.603576751117735
"57",56,1997,1239,1960,"Portugal","184305",0.620430645968953
"58",57,1952,1262,1960,"Portugal","184305",0.646516393442623
"59",58,1906,1216,1960,"Portugal","184305",0.637985309548793
"60",59,1867,1212,1960,"Portugal","184305",0.649169791108731
"61",60,1798,1190,1960,"Portugal","184305",0.661846496106785
"62",61,1771,1186,1960,"Portugal","184305",0.669678147939017
"63",62,1762,1226,1960,"Portugal","184305",0.695800227014756
"64",63,1718,1187,1960,"Portugal","184305",0.690919674039581
"65",64,1586,1136,1960,"Portugal","184305",0.716267339218159
"66",65,1561,1124,1960,"Portugal","184305",0.720051249199231
"67",66,1547,1116,1960,"Portugal","184305",0.721396250808016
"68",67,1484,1102,1960,"Portugal","184305",0.742587601078167
"69",68,1413,1059,1960,"Portugal","184305",0.749469214437367
"70",69,1332,1012,1960,"Portugal","184305",0.75975975975976
"71",70,1306,981,1960,"Portugal","184305",0.75114854517611
"72",71,1228,933,1960,"Portugal","184305",0.759771986970684
"73",72,1141,911,1960,"Portugal","184305",0.798422436459246
"74",73,1085,839,1960,"Portugal","184305",0.773271889400922
"75",74,1023,768,1960,"Portugal","184305",0.750733137829912
"76",75,965,742,1960,"Portugal","184305",0.768911917098446
"77",76,853,680,1960,"Portugal","184305",0.797186400937866
"78",77,749,600,1960,"Portugal","184305",0.801068090787717
"79",78,680,531,1960,"Portugal","184305",0.780882352941176
"80",79,603,469,1960,"Portugal","184305",0.777777777777778
"81",80,516,416,1960,"Portugal","184305",0.806201550387597
"82",81,459,350,1960,"Portugal","184305",0.762527233115468
"83",82,377,292,1960,"Portugal","184305",0.774535809018568
"84",83,355,287,1960,"Portugal","184305",0.808450704225352
"85",84,292,214,1960,"Portugal","184305",0.732876712328767
"86",85,241,199,1960,"Portugal","184305",0.825726141078838
"87",86,192,154,1960,"Portugal","184305",0.802083333333333
"88",87,181,136,1960,"Portugal","184305",0.751381215469613
"89",88,113,88,1960,"Portugal","184305",0.778761061946903
"90",89,91,70,1960,"Portugal","184305",0.769230769230769
"91",90,85,61,1960,"Portugal","184305",0.717647058823529
"92",91,62,40,1960,"Portugal","184305",0.645161290322581
"93",92,34,25,1960,"Portugal","184305",0.735294117647059
"94",93,42,32,1960,"Portugal","184305",0.761904761904762
"95",94,19,13,1960,"Portugal","184305",0.68421052631579
"96",95,13,8,1960,"Portugal","184305",0.615384615384615
"97",96,8,6,1960,"Portugal","184305",0.75
"98",97,8,5,1960,"Portugal","184305",0.625
"99",98,3,3,1960,"Portugal","184305",1
"100",0,3878,0,1965,"Portugal","184305",0
"101",1,3674,0,1965,"Portugal","184305",0
"102",2,3522,0,1965,"Portugal","184305",0
"103",3,3588,0,1965,"Portugal","184305",0
"104",4,3539,0,1965,"Portugal","184305",0
"105",5,3398,0,1965,"Portugal","184305",0
"106",6,3376,0,1965,"Portugal","184305",0
"107",7,3244,0,1965,"Portugal","184305",0
"108",8,3216,0,1965,"Portugal","184305",0
"109",9,3136,0,1965,"Portugal","184305",0
"110",10,3113,0,1965,"Portugal","184305",0
"111",11,3096,0,1965,"Portugal","184305",0
"112",12,3077,0,1965,"Portugal","184305",0
"113",13,2945,0,1965,"Portugal","184305",0
"114",14,3022,0,1965,"Portugal","184305",0
"115",15,3293,0,1965,"Portugal","184305",0
"116",16,3249,0,1965,"Portugal","184305",0
"117",17,3202,0,1965,"Portugal","184305",0
"118",18,3175,0,1965,"Portugal","184305",0
"119",19,3121,0,1965,"Portugal","184305",0
"120",20,3078,0,1965,"Portugal","184305",0
"121",21,3097,0,1965,"Portugal","184305",0
"122",22,3125,0,1965,"Portugal","184305",0
"123",23,3093,0,1965,"Portugal","184305",0
"124",24,3014,0,1965,"Portugal","184305",0
"125",25,3103,0,1965,"Portugal","184305",0
"126",26,3005,0,1965,"Portugal","184305",0
"127",27,3053,0,1965,"Portugal","184305",0
"128",28,2807,0,1965,"Portugal","184305",0
"129",29,2942,2,1965,"Portugal","184305",0.000679809653297077
"130",30,2974,2,1965,"Portugal","184305",0.000672494956287828
"131",31,2983,3,1965,"Portugal","184305",0.00100569896077774
"132",32,2853,10,1965,"Portugal","184305",0.00350508236943568
"133",33,2784,15,1965,"Portugal","184305",0.00538793103448276
"134",34,2826,16,1965,"Portugal","184305",0.0056617126680821
"135",35,2631,42,1965,"Portugal","184305",0.015963511972634
"136",36,2661,52,1965,"Portugal","184305",0.0195415257422022
"137",37,2780,61,1965,"Portugal","184305",0.0219424460431655
"138",38,2731,125,1965,"Portugal","184305",0.0457707799340901
"139",39,2574,154,1965,"Portugal","184305",0.0598290598290598
"140",40,2560,217,1965,"Portugal","184305",0.084765625
"141",41,2595,263,1965,"Portugal","184305",0.101348747591522
"142",42,2555,383,1965,"Portugal","184305",0.149902152641879
"143",43,2512,421,1965,"Portugal","184305",0.167595541401274
"144",44,2539,557,1965,"Portugal","184305",0.21937770775896
"145",45,2464,575,1965,"Portugal","184305",0.23336038961039
"146",46,2427,717,1965,"Portugal","184305",0.295426452410383
"147",47,2408,812,1965,"Portugal","184305",0.337209302325581
"148",48,2367,881,1965,"Portugal","184305",0.37220109843684
"149",49,2322,960,1965,"Portugal","184305",0.41343669250646
"150",50,2346,1060,1965,"Portugal","184305",0.451832907075874
"151",51,2289,1067,1965,"Portugal","184305",0.466142420270861
"152",52,2264,1137,1965,"Portugal","184305",0.502208480565371
"153",53,2298,1225,1965,"Portugal","184305",0.533072236727589
"154",54,2245,1263,1965,"Portugal","184305",0.562583518930958
"155",55,2194,1328,1965,"Portugal","184305",0.605287146763901
"156",56,2105,1335,1965,"Portugal","184305",0.634204275534442
"157",57,2046,1295,1965,"Portugal","184305",0.632942326490714
"158",58,2021,1337,1965,"Portugal","184305",0.661553686293914
"159",59,1940,1324,1965,"Portugal","184305",0.682474226804124
"160",60,1909,1301,1965,"Portugal","184305",0.681508643268727
"161",61,1878,1329,1965,"Portugal","184305",0.707667731629393
"162",62,1806,1303,1965,"Portugal","184305",0.721483942414175
"163",63,1762,1227,1965,"Portugal","184305",0.696367763904654
"164",64,1719,1219,1965,"Portugal","184305",0.70913321698662
"165",65,1621,1151,1965,"Portugal","184305",0.710055521283159
"166",66,1586,1140,1965,"Portugal","184305",0.718789407313997
"167",67,1542,1134,1965,"Portugal","184305",0.735408560311284
"168",68,1495,1091,1965,"Portugal","184305",0.729765886287625
"169",69,1381,1048,1965,"Portugal","184305",0.75887038377987
"170",70,1333,1001,1965,"Portugal","184305",0.750937734433608
"171",71,1264,942,1965,"Portugal","184305",0.745253164556962
"172",72,1205,914,1965,"Portugal","184305",0.75850622406639
"173",73,1109,857,1965,"Portugal","184305",0.772768259693417
"174",74,1038,809,1965,"Portugal","184305",0.779383429672447
"175",75,992,752,1965,"Portugal","184305",0.758064516129032
"176",76,896,682,1965,"Portugal","184305",0.761160714285714
"177",77,777,626,1965,"Portugal","184305",0.805662805662806
"178",78,725,559,1965,"Portugal","184305",0.771034482758621
"179",79,667,501,1965,"Portugal","184305",0.75112443778111
"180",80,581,445,1965,"Portugal","184305",0.76592082616179
"181",81,507,405,1965,"Portugal","184305",0.798816568047337
"182",82,430,343,1965,"Portugal","184305",0.797674418604651
"183",83,383,297,1965,"Portugal","184305",0.775456919060052
"184",84,296,227,1965,"Portugal","184305",0.766891891891892
"185",85,234,192,1965,"Portugal","184305",0.82051282051282
"186",86,202,147,1965,"Portugal","184305",0.727722772277228
"187",87,170,131,1965,"Portugal","184305",0.770588235294118
"188",88,122,103,1965,"Portugal","184305",0.844262295081967
"189",89,99,69,1965,"Portugal","184305",0.696969696969697
